"","formula","df","logLik","AIC","delta","weight"
"1","1 + sr.aut + fosforo + potasio + nitrogeno + (commons + transh)",10,-207.89,435.79,0,0.123
"2","1 + sr.aut + ph + potasio + (commons + transh)",9,-209.08,436.17,0.383,0.102
"3","1 + sr.aut + potasio + (commons + transh)",8,-210.24,436.48,0.692,0.087
"4","1 + sr.aut + ph + potasio + nitrogeno + (commons + transh)",10,-208.25,436.5,0.712,0.086
"5","1 + sr.aut + fosforo + potasio + (commons + transh)",9,-209.29,436.58,0.793,0.083
"6","1 + sr.spr + sr.aut + fosforo + potasio + nitrogeno + (commons + ",11,-207.37,436.74,0.953,0.077
"7","1 + sr.aut + potasio + nitrogeno + (commons + transh)",9,-209.39,436.78,0.989,0.075
"8","1 + sr.aut + fosforo + ph + potasio + nitrogeno + (commons + ",11,-207.57,437.14,1.357,0.063
"9","1 + sr.spr + sr.aut + cic + nitrogeno + (commons + transh)",10,-208.66,437.32,1.531,0.057
"10","1 + sr.spr + sr.aut + potasio + nitrogeno + (commons + transh)",10,-208.71,437.42,1.637,0.054
"11","1 + sr.aut + fosforo + ph + potasio + (commons + transh)",10,-208.78,437.56,1.773,0.051
"12","1 + sr.aut + cic + ph + potasio + nitrogeno + (commons + transh)",11,-207.85,437.7,1.913,0.047
"13","1 + sr.aut + cic + fosforo + potasio + nitrogeno + (commons + ",11,-207.85,437.7,1.915,0.047
"14","1 + sr.aut + cic + fosforo + potasio + (commons + transh)",10,-208.89,437.77,1.989,0.046
